Site ID,Latitude,Longitude,Location,Fluxnet DOI
AU-Lox,-34.4704,140.6551,Loxton,DOI:Ê10.18140/FLX/1440247
CA-Oas,53.6289,-106.1978,"Saskatchewan - Western Boreal, Mature Aspen",DOI:Ê10.18140/FLX/1440043
CA-TPD,42.6353,-80.5577,Ontario - Turkey Point Mature Deciduous,DOI:Ê10.18140/FLX/1440112
DE-Hai,51.0792,10.453,Hainich,DOI:Ê10.18140/FLX/1440148
DE-Lnf,51.3282,10.3678,Leinefelde,DOI:Ê10.18140/FLX/1440150
DK-Sor,55.4859,11.6446,Soroe,DOI:Ê10.18140/FLX/1440155
FR-Fon,48.4764,2.7801,Fontainebleau-Barbeau,DOI:Ê10.18140/FLX/1440161
IT-CA1,42.3804,12.0266,Castel d'Asso1,DOI:Ê10.18140/FLX/1440230
IT-CA3,42.38,12.0222,Castel d'Asso 3,DOI:Ê10.18140/FLX/1440232
IT-Col,41.8494,13.5881,Collelongo,DOI:Ê10.18140/FLX/1440167
IT-Isp,45.8126,8.6336,Ispra ABC-IS,DOI:Ê10.18140/FLX/1440234
IT-PT1,45.2009,9.061,Parco Ticino forest,DOI:Ê10.18140/FLX/1440172
IT-Ro1,42.4081,11.93,Roccarespampani 1,DOI:Ê10.18140/FLX/1440174
IT-Ro2,42.3903,11.9209,Roccarespampani 2,DOI:Ê10.18140/FLX/1440175
JP-MBF,44.3869,142.3186,Moshiri Birch Forest Site,DOI:Ê10.18140/FLX/1440238
PA-SPn,9.3181,-79.6346,Sardinilla Plantation,DOI:Ê10.18140/FLX/1440180
US-Ha1,42.5378,-72.1715,Harvard Forest EMS Tower,DOI:Ê10.18140/FLX/1440071
US-MMS,39.3232,-86.4131,Morgan Monroe State Forest,DOI:Ê10.18140/FLX/1440083
US-Oho,41.5545,-83.8438,Oak Openings,DOI:Ê10.18140/FLX/1440088
US-UMB,45.5598,-84.7138,Univ. of Mich. Biological Station,DOI:Ê10.18140/FLX/1440093
US-UMd,45.5625,-84.6975,UMBS Disturbance,DOI:Ê10.18140/FLX/1440101
US-WCr,45.8059,-90.0799,Willow Creek,DOI:Ê10.18140/FLX/1440095
US-Wi1,46.7305,-91.2329,Wisconsin Intermediate Hardwood,DOI:Ê10.18140/FLX/1440054
US-Wi3,46.6347,-91.0987,Wisconsin Mature Hardwood,DOI:Ê10.18140/FLX/1440057
US-Wi8,46.7223,-91.2524,Wisconsin Clearcut Young Hardwood,DOI:Ê10.18140/FLX/1440062
ZM-Mon,-15.4378,23.2528,Mongu,DOI:Ê10.18140/FLX/1440189
